price,carat,cut,color,clarity,polish,symmetry,flourescence,depth,table,length_width,culet,delivery
330,0.23,Good,D,VS2,Excellent,Good,None,56.9,58.0,1.38,None,Dec7
338,0.23,VeryGood,D,VS2,VeryGood,Good,None,64.3,56.0,1.42,None,Dec7
345,0.27,Good,G,VVS2,VeryGood,Good,None,66.5,55.0,1.31,None,Dec4
356,0.30,VeryGood,H,VVS1,Excellent,VeryGood,None,57.4,63.0,1.40,None,Dec6
362,0.36,VeryGood,H,SI2,VeryGood,Good,None,63.3,61.0,1.39,None,Dec7
377,0.32,VeryGood,H,VS2,VeryGood,VeryGood,Faint,60.2,59.0,1.35,None,Dec7
403,0.26,VeryGood,F,VVS2,Excellent,VeryGood,None,63.4,63.0,1.35,None,Dec4
410,0.30,VeryGood,H,VVS1,Excellent,VeryGood,Faint,59.1,63.0,1.39,None,Dec7
414,0.29,Good,D,VS1,VeryGood,Good,None,61.1,65.0,1.39,None,Dec7
415,0.32,VeryGood,D,SI1,VeryGood,Good,Medium,62.5,59.0,1.37,None,Dec7
420,0.30,VeryGood,D,SI1,VeryGood,Good,Faint,62.8,57.0,1.36,None,Dec7
429,0.33,VeryGood,D,SI2,Excellent,Good,None,57.9,62.0,1.39,None,Dec7
432,0.31,VeryGood,D,SI1,VeryGood,VeryGood,Medium,60.7,61.0,1.34,None,Dec7
433,0.30,Good,D,SI1,VeryGood,Good,None,56.8,64.0,1.36,None,Dec7
437,0.30,VeryGood,D,SI1,VeryGood,Good,None,63.9,57.0,1.39,None,Dec7
437,0.30,VeryGood,F,VVS1,VeryGood,VeryGood,None,64.2,60.0,1.33,None,Dec7
442,0.31,VeryGood,E,VS2,Excellent,VeryGood,Strong,62.2,58.0,1.34,None,Dec7
444,0.32,VeryGood,H,VVS1,VeryGood,Good,Faint,62.4,57.0,1.38,None,Dec7
447,0.30,VeryGood,G,VS1,VeryGood,Good,Faint,63.4,60.0,1.34,None,Dec7
447,0.31,VeryGood,E,SI1,VeryGood,Good,None,60.1,60.0,1.39,None,Dec7
452,0.30,VeryGood,E,VVS1,Excellent,Excellent,Faint,64.3,63.0,1.28,None,Dec6
453,0.30,VeryGood,J,VVS2,VeryGood,VeryGood,None,60.9,61.0,1.41,None,Dec7
479,0.30,VeryGood,F,VVS1,VeryGood,Good,None,57.7,60.0,1.37,None,Dec7
479,0.32,VeryGood,D,SI1,Excellent,VeryGood,Faint,62.6,60.0,1.37,None,Dec7
482,0.32,VeryGood,H,VVS2,VeryGood,VeryGood,None,59.7,62.0,1.40,None,Dec7
494,0.36,VeryGood,D,SI1,Good,VeryGood,None,60.3,60.0,1.36,None,Dec7
495,0.35,VeryGood,D,SI1,VeryGood,Good,None,60.1,61.0,1.39,None,Dec7
496,0.31,VeryGood,E,VS2,VeryGood,Good,None,62.7,61.0,1.34,None,Dec7
503,0.31,VeryGood,F,VVS1,Excellent,Good,None,63.0,55.0,1.36,None,Dec7
505,0.30,VeryGood,E,VVS2,Excellent,VeryGood,Faint,58.1,61.0,1.39,None,Dec7
506,0.30,VeryGood,E,VVS1,Excellent,VeryGood,Medium,57.3,62.0,1.41,None,Dec7
507,0.30,VeryGood,F,VVS2,Excellent,VeryGood,None,62.1,57.0,1.37,None,Dec7
510,0.39,VeryGood,D,SI1,VeryGood,Good,Medium,60.0,59.0,1.38,None,Dec7
513,0.32,VeryGood,F,VVS2,VeryGood,Good,None,61.4,59.0,1.38,None,Dec7
516,0.32,VeryGood,D,VS2,Excellent,Good,Strong,62.4,62.0,1.37,None,Dec7
518,0.41,VeryGood,J,VVS1,VeryGood,Good,None,62.1,58.0,1.37,None,Dec7
523,0.30,VeryGood,D,VS2,VeryGood,Good,Faint,60.3,58.0,1.39,None,Dec7
524,0.35,VeryGood,E,VS2,Excellent,Good,None,60.9,61.0,1.40,None,Dec7
525,0.31,VeryGood,F,VS1,VeryGood,Good,None,62.1,60.0,1.34,None,Dec7
527,0.30,VeryGood,D,VS2,VeryGood,Good,None,61.9,61.0,1.40,None,Dec7
527,0.31,VeryGood,D,VS2,VeryGood,Good,None,63.5,58.0,1.33,None,Dec7
528,0.30,VeryGood,D,VS1,Good,Good,Faint,60.1,57.0,1.34,None,Dec7
528,0.30,VeryGood,D,VVS2,VeryGood,Good,None,64.5,60.0,1.29,None,Dec5
528,0.31,VeryGood,E,VVS2,VeryGood,VeryGood,None,63.4,57.0,1.35,None,Dec4
534,0.30,VeryGood,E,VS1,VeryGood,Good,None,64.8,62.0,1.42,None,Dec7
535,0.31,VeryGood,D,VS2,Excellent,VeryGood,Medium,63.1,58.0,1.39,VerySmall,Dec7
535,0.31,VeryGood,F,VS1,VeryGood,Good,Faint,63.4,60.0,1.37,None,Dec7
536,0.33,VeryGood,H,SI1,VeryGood,Good,None,63.4,62.0,1.43,None,Dec7
539,0.35,VeryGood,F,VS2,Excellent,Good,None,60.1,62.0,1.35,None,Dec7
539,0.37,VeryGood,I,VVS1,VeryGood,VeryGood,Medium,58.6,61.0,1.40,None,Dec7
541,0.37,VeryGood,D,SI1,VeryGood,VeryGood,Faint,60.8,60.0,1.38,None,Dec7
542,0.30,VeryGood,D,VVS1,VeryGood,Good,Medium,59.1,62.0,1.37,None,Dec7
546,0.31,VeryGood,D,VS2,VeryGood,Good,None,59.9,57.0,1.39,None,Dec7
546,0.31,VeryGood,F,VS1,Excellent,VeryGood,None,60.4,58.0,1.37,None,Dec7
546,0.31,VeryGood,F,VS1,VeryGood,VeryGood,None,60.0,57.0,1.35,None,Dec7
546,0.32,VeryGood,D,VVS2,VeryGood,Good,Strong,62.2,63.0,1.34,None,Dec7
555,0.35,VeryGood,E,VS2,VeryGood,Good,None,63.5,61.0,1.40,None,Dec7
556,0.35,Good,D,VS2,VeryGood,VeryGood,None,68.3,56.0,1.40,None,Dec4
558,0.30,VeryGood,F,SI1,VeryGood,Good,None,64.4,63.0,1.43,None,Dec7
558,0.35,VeryGood,D,VS2,VeryGood,Good,Faint,58.3,62.0,1.41,None,Dec7
560,0.31,VeryGood,D,VS2,VeryGood,Good,None,61.0,61.0,1.32,None,Dec7
562,0.32,VeryGood,E,VS1,VeryGood,Good,None,63.4,61.0,1.34,None,Dec7
564,0.32,VeryGood,E,VVS2,VeryGood,VeryGood,None,59.8,61.0,1.30,None,Dec7
565,0.32,VeryGood,E,VS1,VeryGood,Good,None,63.2,59.0,1.37,None,Dec7
566,0.30,VeryGood,E,VVS1,Excellent,VeryGood,None,63.6,56.0,1.37,None,Dec4
566,0.30,VeryGood,F,SI1,VeryGood,Good,None,57.9,59.0,1.43,None,Dec7
