price,carat,cut,color,clarity,polish,symmetry,flourescence,depth,table,lengthWidth,culet
330,0.23,0,6,2,2,0,8,56.9,58,1.38,0
338,0.23,1,6,2,1,0,8,64.3,56,1.42,0
345,0.27,0,3,4,1,0,8,66.5,55,1.31,0
356,0.3,1,2,5,2,1,8,57.4,63,1.4,0
362,0.36,1,2,0,1,0,8,63.3,61,1.39,0
377,0.32,1,2,2,1,1,7,60.2,59,1.35,0
403,0.26,1,4,4,2,1,8,63.4,63,1.35,0
410,0.3,1,2,5,2,1,7,59.1,63,1.39,0
414,0.29,0,6,3,1,0,8,61.1,65,1.39,0
415,0.32,1,6,1,1,0,5,62.5,59,1.37,0
420,0.3,1,6,1,1,0,7,62.8,57,1.36,0
429,0.33,1,6,0,2,0,8,57.9,62,1.39,0
432,0.31,1,6,1,1,1,5,60.7,61,1.34,0
433,0.3,0,6,1,1,0,8,56.8,64,1.36,0
437,0.3,1,6,1,1,0,8,63.9,57,1.39,0
437,0.3,1,4,5,1,1,8,64.2,60,1.33,0
442,0.31,1,5,2,2,1,3,62.2,58,1.34,0
444,0.32,1,2,5,1,0,7,62.4,57,1.38,0
447,0.3,1,3,3,1,0,7,63.4,60,1.34,0
447,0.31,1,5,1,1,0,8,60.1,60,1.39,0
452,0.3,1,5,5,2,2,7,64.3,63,1.28,0
453,0.3,1,0,4,1,1,8,60.9,61,1.41,0
479,0.3,1,4,5,1,0,8,57.7,60,1.37,0
479,0.32,1,6,1,2,1,7,62.6,60,1.37,0
482,0.32,1,2,4,1,1,8,59.7,62,1.4,0
494,0.36,1,6,1,0,1,8,60.3,60,1.36,0
495,0.35,1,6,1,1,0,8,60.1,61,1.39,0
496,0.31,1,5,2,1,0,8,62.7,61,1.34,0
503,0.31,1,4,5,2,0,8,63,55,1.36,0
505,0.3,1,5,4,2,1,7,58.1,61,1.39,0
506,0.3,1,5,5,2,1,5,57.3,62,1.41,0
507,0.3,1,4,4,2,1,8,62.1,57,1.37,0
510,0.39,1,6,1,1,0,5,60,59,1.38,0
513,0.32,1,4,4,1,0,8,61.4,59,1.38,0
516,0.32,1,6,2,2,0,3,62.4,62,1.37,0
518,0.41,1,0,5,1,0,8,62.1,58,1.37,0
523,0.3,1,6,2,1,0,7,60.3,58,1.39,0
524,0.35,1,5,2,2,0,8,60.9,61,1.4,0
525,0.31,1,4,3,1,0,8,62.1,60,1.34,0
527,0.3,1,6,2,1,0,8,61.9,61,1.4,0
527,0.31,1,6,2,1,0,8,63.5,58,1.33,0
528,0.3,1,6,3,0,0,7,60.1,57,1.34,0
528,0.3,1,6,4,1,0,8,64.5,60,1.29,0
528,0.31,1,5,4,1,1,8,63.4,57,1.35,0
534,0.3,1,5,3,1,0,8,64.8,62,1.42,0
535,0.31,1,6,2,2,1,5,63.1,58,1.39,1
535,0.31,1,4,3,1,0,7,63.4,60,1.37,0
