round,carat,cut,color,clarity,depth,table,length-width,date,price
0,2.00,0,1,1,75.7,67.0,1.04,22,11355
0,2.00,0,1,3,75.9,75.0,1.01,22,17540
0,2.00,0,3,1,70.9,76.0,1.00,23,13678
0,2.00,0,6,5,74.4,76.0,1.01,18,26319
0,2.00,0,6,5,74.4,76.0,1.01,22,26004
0,2.00,1,3,3,65.8,70.0,1.04,22,18626
0,2.00,1,3,4,73.3,58.0,1.04,23,19962
0,2.00,1,4,3,70.6,64.0,1.02,25,21006
0,2.00,2,5,4,69.0,66.0,1.05,22,23639
0,2.00,2,5,4,69.0,66.0,1.05,23,24021
0,2.00,2,6,2,66.5,57.0,1.02,22,20461
0,2.01,1,0,2,62.8,72.0,1.00,22,13296
0,2.01,1,1,2,69.2,70.0,1.02,22,12774
0,2.01,1,3,0,72.5,68.0,1.02,22,10768
0,2.01,1,3,1,70.8,67.0,1.02,23,14320
0,2.01,1,3,3,70.7,66.0,1.02,23,20004
0,2.01,1,3,4,71.4,61.0,1.02,19,20494
0,2.01,1,3,4,71.4,61.0,1.02,22,20060
0,2.01,1,4,4,73.8,66.0,1.03,22,24935
0,2.01,2,2,6,68.3,63.0,1.00,19,23490
0,2.01,2,2,6,68.3,63.0,1.00,22,22975
0,2.01,2,3,3,68.2,63.0,1.01,18,24357
0,2.01,2,3,3,68.2,63.0,1.01,23,23803
0,2.01,2,4,1,62.8,63.0,1.04,22,19021
0,2.01,2,4,3,68.2,66.0,1.01,19,22868
0,2.01,2,4,4,69.2,66.0,1.00,18,28740
0,2.01,2,5,1,68.4,64.0,1.00,22,18189
0,2.01,2,5,2,68.4,66.0,1.01,19,25231
0,2.01,2,5,2,68.4,66.0,1.01,22,24699
0,2.01,2,5,3,64.3,67.0,1.05,19,28598
0,2.01,2,5,3,64.3,67.0,1.05,22,28090
0,2.01,2,5,3,67.4,66.0,1.01,19,26961
0,2.01,2,5,3,67.4,66.0,1.01,22,27182
0,2.01,2,5,3,68.3,65.0,1.01,19,27317
0,2.01,3,2,3,66.2,57.0,1.01,21,20226
0,2.01,3,2,4,66.9,62.0,1.01,21,23427
0,2.01,3,3,3,66.0,62.0,1.01,21,27512
0,2.01,3,3,3,66.2,62.0,1.01,21,28343
0,2.01,4,2,3,66.2,57.0,1.01,16,20757
0,2.01,4,2,4,66.9,62.0,1.01,16,24084
0,2.01,4,3,3,66.0,62.0,1.01,16,28157
0,2.01,4,3,3,66.2,62.0,1.01,16,29007
0,2.02,1,2,6,71.4,66.0,1.05,19,21379
0,2.02,1,2,6,71.4,66.0,1.05,22,20907
0,2.02,1,4,5,72.2,65.0,1.00,25,27885
0,2.02,1,5,3,70.1,65.0,1.03,20,23779
0,2.02,1,5,3,71.6,61.0,1.00,19,27538
0,2.02,1,5,3,71.6,61.0,1.00,22,27048
0,2.02,1,6,4,70.2,57.0,1.05,22,22602
0,2.02,1,6,4,70.2,57.0,1.05,23,22441
0,2.02,2,2,2,66.2,64.0,1.02,22,17626
0,2.02,2,3,2,67.1,58.0,1.00,22,19256
0,2.02,2,3,4,67.7,65.0,1.02,19,23471
0,2.02,2,3,4,67.7,65.0,1.02,22,22974
0,2.02,2,4,2,68.0,62.0,1.02,28,22334
0,2.02,2,4,4,69.3,65.0,1.01,18,29252
0,2.02,2,4,4,69.3,65.0,1.01,23,28733
0,2.02,2,5,1,59.6,67.0,1.00,18,22386
0,2.02,2,5,1,59.6,67.0,1.00,23,21808
0,2.02,2,5,3,66.6,55.0,1.01,20,22713
0,2.02,2,6,4,68.1,59.0,1.03,22,21197
0,2.02,2,6,4,68.1,59.0,1.03,23,21492
0,2.02,3,2,3,66.2,62.0,1.00,21,22890
0,2.02,4,2,3,66.2,62.0,1.00,16,23564
0,2.03,1,3,3,63.8,75.0,1.02,20,22330
0,2.03,1,3,3,63.8,75.0,1.02,22,21770
0,2.03,1,3,4,71.3,62.0,1.01,23,21694
0,2.03,1,5,2,70.0,68.0,1.00,19,23089
0,2.03,1,5,2,70.0,68.0,1.00,22,22601
0,2.03,2,4,2,69.5,62.0,1.00,18,23265
0,2.03,2,4,2,69.5,62.0,1.00,23,22735
0,2.03,2,4,4,60.8,68.0,1.05,20,28089
0,2.03,2,4,4,60.8,68.0,1.05,22,28089
0,2.03,2,5,1,68.0,62.0,1.00,22,18544
0,2.04,2,3,4,65.1,65.0,1.04,19,23861
0,2.04,2,3,4,65.1,65.0,1.04,22,23355
0,2.05,1,0,3,70.9,67.0,1.03,28,10487
0,2.05,1,1,3,69.4,55.0,1.02,22,18490
0,2.05,1,3,1,71.3,62.0,1.04,22,16106
0,2.05,1,3,4,68.8,55.0,1.04,23,14058
0,2.05,2,5,2,64.1,64.0,1.01,19,21191
0,2.05,2,5,2,64.1,64.0,1.01,22,20743
0,2.05,3,2,5,66.3,59.0,1.01,21,25328
0,2.05,3,3,3,66.4,61.0,1.00,21,28894
0,2.05,4,2,5,66.3,59.0,1.01,16,25975
0,2.05,4,3,3,66.4,61.0,1.00,16,29570
0,2.06,1,0,4,73.8,70.0,1.01,22,15847
0,2.06,2,4,0,69.5,64.0,1.01,23,13521
0,2.06,2,4,4,67.3,64.0,1.01,18,24713
0,2.06,2,4,4,67.3,64.0,1.01,23,24272
