Date,Open,High,Low,Close,Adj Close,Volume
1998-12-22,23.3125,23.390625,23.1875,23.265625,14.369477999999999,15200
1998-12-23,23.34375,23.75,23.3125,23.75,14.668647,67800
1998-12-24,23.8125,23.8125,23.59375,23.625,14.591443,12300
1998-12-28,23.75,23.75,23.34375,23.5,14.514245,13500
1998-12-29,23.5625,23.734375,23.34375,23.734375,14.658992999999999,22000
1998-12-30,23.71875,23.71875,23.359375,23.375,14.43704,21800
1998-12-31,23.34375,23.34375,23.21875,23.34375,14.41774,13000
1999-01-04,23.28125,23.75,23.28125,23.328125,14.408087,28600
1999-01-05,23.46875,23.46875,23.171875,23.203125,14.330885999999998,42700
1999-01-06,23.46875,24.0,23.3125,23.96875,14.803756,56400
1999-01-07,23.96875,23.984375,23.578125,23.859375,14.7362,72600
1999-01-08,24.0,24.5625,23.375,23.96875,14.803756,421100
1999-01-11,23.75,23.78125,23.4375,23.515625,14.52389,35000
1999-01-12,23.5,23.59375,23.125,23.15625,14.301935999999998,89200
1999-01-13,22.75,23.1875,22.6875,22.8125,14.089620000000002,42400
1999-01-14,22.75,22.875,22.375,22.375,13.819416,70000
1999-01-15,22.5625,22.75,22.453125,22.71875,14.031714000000001,10700
1999-01-19,22.8125,22.8125,22.53125,22.71875,14.031714000000001,12800
1999-01-20,22.59375,22.8125,22.515625,22.53125,13.915915,15800
1999-01-21,22.53125,22.90625,22.5,22.71875,14.031714000000001,23900
1999-01-22,22.75,22.8125,22.5625,22.59375,13.954521,19300
1999-01-25,22.6875,22.6875,22.375,22.5625,13.935217999999999,18200
1999-01-26,22.59375,22.59375,22.15625,22.34375,13.800108999999999,25700
1999-01-27,22.375,22.375,21.875,21.9375,13.549197,37100
1999-01-28,22.0,22.0,21.625,21.8125,13.471995999999999,30800
1999-01-29,21.6875,21.8125,21.4375,21.8125,13.471995999999999,18600
1999-02-01,21.8125,21.875,21.59375,21.59375,13.336892,23100
1999-02-02,21.625,21.8125,21.53125,21.625,13.35619,26500
1999-02-03,21.75,22.25,21.75,22.125,13.665004999999999,29400
1999-02-04,22.125,22.3125,22.0625,22.25,13.74221,26000
1999-02-05,22.3125,22.9375,22.1875,22.875,14.128224,66000
1999-02-08,22.96875,23.1875,22.9375,23.1875,14.321226999999999,31100
1999-02-09,23.21875,23.21875,22.75,22.75,14.051025,64300
1999-02-10,22.84375,23.0625,22.6875,22.8125,14.089620000000002,69300
1999-02-11,22.71875,22.71875,22.28125,22.625,13.973817000000002,216800
1999-02-12,22.375,22.625,22.15625,22.15625,13.684304000000001,242300
1999-02-16,22.328125,22.4375,21.78125,22.0,13.587801,36600
1999-02-17,21.875,22.09375,21.75,21.78125,13.452693,41700
1999-02-18,21.75,21.96875,21.53125,21.84375,13.491303,83000
1999-02-19,21.9375,21.96875,21.53125,21.71875,13.414095000000001,130300
1999-02-22,21.875,22.0,21.6875,21.9375,13.549197,79500
1999-02-23,22.0,22.09375,21.75,21.75,13.433398,309600
1999-02-24,21.8125,22.09375,21.65625,21.65625,13.375494,34500
1999-02-25,21.640625,21.90625,21.625,21.765625,13.443044,44600
1999-02-26,21.84375,22.0,21.625,21.625,13.35619,24900
1999-03-01,21.671875,21.6875,21.34375,21.40625,13.221086999999999,13300
1999-03-02,21.4375,21.53125,21.09375,21.1875,13.085977,55100
1999-03-03,21.375,21.75,21.21875,21.65625,13.375494,103300
1999-03-04,21.84375,22.5625,21.84375,22.4375,13.858017000000002,90400
1999-03-05,23.0,23.03125,22.625,22.859375,14.118567,92700
1999-03-08,22.984375,23.25,22.890625,23.1875,14.321226999999999,107600
1999-03-09,22.9375,23.3125,22.84375,22.9375,14.166827,79000
1999-03-10,23.03125,24.3125,23.03125,24.25,14.977460999999998,1733800
1999-03-11,25.0,25.25,24.25,24.59375,15.189766,909000
1999-03-12,24.875,25.0625,24.25,24.5,15.131867000000002,604300
1999-03-15,24.5625,24.625,24.015625,24.3125,15.016067000000001,523000
1999-03-16,24.09375,24.3125,24.0,24.1875,14.938869,273300
1999-03-17,24.3125,24.84375,24.25,24.8125,15.324876999999999,362800
1999-03-18,25.25,25.3125,24.9375,25.125,15.517883,332600
1999-03-19,25.25,25.28125,24.625,24.78125,15.360605,260400
1999-03-22,25.0,25.125,24.734375,24.9375,15.457443,165000
1999-03-23,24.75,24.75,24.25,24.5,15.186269,137900
1999-03-24,24.625,24.71875,24.15625,24.375,15.108787,61100
1999-03-25,24.3125,24.5625,24.0625,24.4375,15.147526999999998,166500
1999-03-26,24.6875,24.875,24.46875,24.75,15.341228,44700
1999-03-29,25.375,25.6875,25.34375,25.4375,15.767373999999998,84400
1999-03-30,25.28125,25.3125,24.90625,24.96875,15.476823000000001,60800
1999-03-31,25.15625,25.1875,24.59375,24.59375,15.244375,67000
1999-04-01,24.625,24.65625,24.296875,24.5625,15.225013,22000
1999-04-05,24.5625,25.25,24.5625,25.15625,15.593042,58400
1999-04-06,25.09375,25.125,24.71875,24.90625,15.438087,42600
1999-04-07,24.875,24.90625,24.46875,24.65625,15.283114999999999,836400
1999-04-08,24.765625,25.1875,24.671875,24.90625,15.438087,852300
1999-04-09,24.921875,25.5,24.890625,25.375,15.728632000000001,52400
1999-04-12,25.25,25.75,25.25,25.5625,15.844853,62500
1999-04-13,25.40625,25.734375,25.40625,25.53125,15.825488,67800
1999-04-14,25.5,25.65625,25.21875,25.21875,15.631779000000002,27000
1999-04-15,25.375,26.4375,25.375,26.3125,16.309738,259400
1999-04-16,26.59375,27.15625,26.375,27.140625,16.823055,88500
1999-04-19,27.875,28.34375,27.4375,27.46875,17.02644,245500
1999-04-20,27.5625,27.5625,26.765625,27.03125,16.755259,386400
1999-04-21,26.875,27.0625,26.375,26.625,16.503447,181200
1999-04-22,26.5625,27.09375,26.25,27.09375,16.793997,395900
1999-04-23,26.984375,27.0,26.546875,26.75,16.580927,16300
1999-04-26,26.5625,26.5625,26.015625,26.15625,16.212892999999998,297800
1999-04-27,26.453125,27.0,26.4375,26.984375,16.726198,82400
1999-04-28,27.125,28.28125,27.125,27.875,17.27825,103700
1999-04-29,26.8125,28.875,26.75,28.71875,17.801254,240100
1999-04-30,28.375,28.625,28.0,28.234375,17.501009,966100
1999-05-03,28.25,28.9375,28.0,28.9375,17.936844,276600
1999-05-04,28.96875,29.125,28.734375,28.96875,17.956204999999997,358500
1999-05-05,28.9375,28.9375,28.15625,28.546875,17.694717,381000
1999-05-06,28.6875,28.75,28.03125,28.46875,17.64629,402500
1999-05-07,28.28125,28.671875,28.109375,28.640625,17.752819,360700
1999-05-10,28.609375,28.90625,28.3125,28.3125,17.549432999999997,270700
1999-05-11,28.5,28.53125,28.25,28.40625,17.607544,71600
1999-05-12,27.75,28.0,27.25,27.875,17.27825,531700
1999-05-13,28.0625,28.3125,27.875,28.015625,17.365417,264700
1999-05-14,27.875,28.0625,27.65625,27.8125,17.239513,254900
1999-05-17,27.4375,27.78125,27.375,27.703125,17.171717,105800
1999-05-18,27.4375,27.5,27.015625,27.0625,16.774628,33800
1999-05-19,27.28125,27.59375,27.015625,27.4375,17.007067000000003,280700
1999-05-20,27.34375,27.84375,27.34375,27.75,17.200775,147500
1999-05-21,27.875,28.34375,27.6875,28.1875,17.471951,215100
1999-05-24,28.3125,28.59375,27.515625,27.515625,17.055487,310300
1999-05-25,27.5625,28.1875,27.40625,27.40625,16.987709,451000
1999-05-26,27.78125,28.28125,27.625,28.1875,17.471951,64700
1999-05-27,28.0,28.375,27.34375,27.34375,16.948963,76700
1999-05-28,27.40625,27.8125,27.3125,27.625,17.123295000000002,107800
1999-06-01,27.5625,27.5625,27.015625,27.46875,17.02644,421500
1999-06-02,27.578125,27.84375,27.578125,27.78125,17.220144,32000
1999-06-03,28.09375,28.25,27.875,27.875,17.27825,43300
1999-06-04,28.15625,28.3125,27.875,28.3125,17.549432999999997,22500
1999-06-07,28.34375,28.734375,28.28125,28.640625,17.752819,182300
1999-06-08,28.5,28.59375,28.1875,28.1875,17.471951,169800
1999-06-09,28.15625,28.46875,28.125,28.25,17.510706,14400
1999-06-10,28.375,28.53125,28.125,28.40625,17.607544,122100
1999-06-11,28.5625,28.75,28.4375,28.625,17.743141,81700
1999-06-14,28.75,28.9375,28.53125,28.875,17.8981,271000
