Date,Open,High,Low,Close,Adj Close,Volume
1986-06-30,89.91,89.91,89.91,89.91,89.91,0
1986-07-01,90.06,90.06,90.06,90.06,90.06,0
1986-07-02,90.21,90.21,90.21,90.21,90.21,0
1986-07-03,90.16,90.16,90.16,90.16,90.16,0
1986-07-07,88.88,88.88,88.88,88.88,88.88,0
1986-07-08,88.38,88.38,88.38,88.38,88.38,0
1986-07-09,88.82,88.82,88.82,88.82,88.82,0
1986-07-10,89.07,89.07,89.07,89.07,89.07,0
1986-07-11,88.99,88.99,88.99,88.99,88.99,0
1986-07-14,87.79,87.79,87.79,87.79,87.79,0
1986-07-15,86.85,86.85,86.85,86.85,86.85,0
1986-07-16,86.75,86.75,86.75,86.75,86.75,0
1986-07-17,87.00,87.00,87.00,87.00,87.00,0
1986-07-18,87.38,87.38,87.38,87.38,87.38,0
1986-07-21,87.38,87.38,87.38,87.38,87.38,0
1986-07-22,87.80,87.80,87.80,87.80,87.80,0
1986-07-23,87.74,87.74,87.74,87.74,87.74,0
1986-07-24,87.84,87.84,87.84,87.84,87.84,0
1986-07-25,88.35,88.35,88.35,88.35,88.35,0
1986-07-28,87.53,87.53,87.53,87.53,87.53,0
1986-07-29,87.59,87.59,87.59,87.59,87.59,0
1986-07-30,88.13,88.13,88.13,88.13,88.13,0
1986-07-31,88.10,88.10,88.10,88.10,88.10,0
1986-08-01,87.78,87.78,87.78,87.78,87.78,0
1986-08-04,88.25,88.25,88.25,88.25,88.25,0
1986-08-05,88.42,88.42,88.42,88.42,88.42,0
1986-08-06,88.52,88.52,88.52,88.52,88.52,0
1986-08-07,88.63,88.63,88.63,88.63,88.63,0
1986-08-08,88.64,88.64,88.64,88.64,88.64,0
1986-08-11,89.16,89.16,89.16,89.16,89.16,0
1986-08-12,89.25,89.25,89.25,89.25,89.25,0
1986-08-13,89.28,89.28,89.28,89.28,89.28,0
1986-08-14,89.29,89.29,89.29,89.29,89.29,0
1986-08-15,89.27,89.27,89.27,89.27,89.27,0
1986-08-18,89.36,89.36,89.36,89.36,89.36,0
1986-08-19,89.30,89.30,89.30,89.30,89.30,0
1986-08-20,89.79,89.79,89.79,89.79,89.79,0
1986-08-21,89.80,89.80,89.80,89.80,89.80,0
1986-08-22,89.94,89.94,89.94,89.94,89.94,0
1986-08-25,89.80,89.80,89.80,89.80,89.80,0
1986-08-26,90.32,90.32,90.32,90.32,90.32,0
1986-08-27,90.37,90.37,90.37,90.37,90.37,0
1986-08-28,90.40,90.40,90.40,90.40,90.40,0
1986-08-29,90.39,90.39,90.39,90.39,90.39,0
1986-09-02,90.01,90.01,90.01,90.01,90.01,0
1986-09-03,90.29,90.29,90.29,90.29,90.29,0
1986-09-04,90.62,90.62,90.62,90.62,90.62,0
1986-09-05,90.36,90.36,90.36,90.36,90.36,0
1986-09-08,90.29,90.29,90.29,90.29,90.29,0
1986-09-09,90.34,90.34,90.34,90.34,90.34,0
1986-09-10,90.24,90.24,90.24,90.24,90.24,0
1986-09-11,86.49,86.49,86.49,86.49,86.49,0
1986-09-12,85.06,85.06,85.06,85.06,85.06,0
1986-09-15,85.38,85.38,85.38,85.38,85.38,0
1986-09-16,85.58,85.58,85.58,85.58,85.58,0
1986-09-17,85.59,85.59,85.59,85.59,85.59,0
1986-09-18,86.10,86.10,86.10,86.10,86.10,0
1986-09-19,86.21,86.21,86.21,86.21,86.21,0
1986-09-22,86.83,86.83,86.83,86.83,86.83,0
1986-09-23,87.10,87.10,87.10,87.10,87.10,0
1986-09-24,87.14,87.14,87.14,87.14,87.14,0
1986-09-25,86.41,86.41,86.41,86.41,86.41,0
1986-09-26,86.59,86.59,86.59,86.59,86.59,0
1986-09-29,86.30,86.30,86.30,86.30,86.30,0
1986-09-30,86.62,86.62,86.62,86.62,86.62,0
1986-10-01,87.06,87.06,87.06,87.06,87.06,0
1986-10-02,87.17,87.17,87.17,87.17,87.17,0
1986-10-03,87.09,87.09,87.09,87.09,87.09,0
1986-10-06,87.40,87.40,87.40,87.40,87.40,0
1986-10-07,87.46,87.46,87.46,87.46,87.46,0
1986-10-08,87.82,87.82,87.82,87.82,87.82,0
1986-10-09,87.78,87.78,87.78,87.78,87.78,0
1986-10-10,87.97,87.97,87.97,87.97,87.97,0
1986-10-13,88.21,88.21,88.21,88.21,88.21,0
1986-10-14,88.25,88.25,88.25,88.25,88.25,0
1986-10-15,88.36,88.36,88.36,88.36,88.36,0
1986-10-16,88.39,88.39,88.39,88.39,88.39,0
1986-10-17,88.34,88.34,88.34,88.34,88.34,0
1986-10-20,87.95,87.95,87.95,87.95,87.95,0
1986-10-21,88.08,88.08,88.08,88.08,88.08,0
1986-10-22,88.24,88.24,88.24,88.24,88.24,0
1986-10-23,88.96,88.96,88.96,88.96,88.96,0
1986-10-24,88.80,88.80,88.80,88.80,88.80,0
1986-10-27,89.03,89.03,89.03,89.03,89.03,0
1986-10-28,89.09,89.09,89.09,89.09,89.09,0
1986-10-29,89.37,89.37,89.37,89.37,89.37,0
1986-10-30,89.67,89.67,89.67,89.67,89.67,0
1986-10-31,89.76,89.76,89.76,89.76,89.76,0
1986-11-03,89.92,89.92,89.92,89.92,89.92,0
1986-11-04,90.01,90.01,90.01,90.01,90.01,0
1986-11-05,90.06,90.06,90.06,90.06,90.06,0
1986-11-06,90.07,90.07,90.07,90.07,90.07,0
1986-11-07,90.11,90.11,90.11,90.11,90.11,0
1986-11-10,90.19,90.19,90.19,90.19,90.19,0
1986-11-11,90.24,90.24,90.24,90.24,90.24,0
1986-11-12,90.25,90.25,90.25,90.25,90.25,0
1986-11-13,90.18,90.18,90.18,90.18,90.18,0
1986-11-14,90.25,90.25,90.25,90.25,90.25,0
1986-11-17,90.31,90.31,90.31,90.31,90.31,0
1986-11-18,89.88,89.88,89.88,89.88,89.88,0
1986-11-19,90.16,90.16,90.16,90.16,90.16,0
1986-11-20,90.37,90.37,90.37,90.37,90.37,0
1986-11-21,90.39,90.39,90.39,90.39,90.39,0
1986-11-24,90.88,90.88,90.88,90.88,90.88,0
1986-11-25,91.08,91.08,91.08,91.08,91.08,0
1986-11-26,91.20,91.20,91.20,91.20,91.20,0
1986-11-28,91.18,91.18,91.18,91.18,91.18,0
1986-12-01,91.48,91.48,91.48,91.48,91.48,0
1986-12-02,91.75,91.75,91.75,91.75,91.75,0
1986-12-03,91.78,91.78,91.78,91.78,91.78,0
1986-12-04,91.80,91.80,91.80,91.80,91.80,0
1986-12-05,91.69,91.69,91.69,91.69,91.69,0
1986-12-08,91.76,91.76,91.76,91.76,91.76,0
1986-12-09,91.73,91.73,91.73,91.73,91.73,0
1986-12-10,91.90,91.90,91.90,91.90,91.90,0
1986-12-11,91.67,91.67,91.67,91.67,91.67,0
1986-12-12,91.64,91.64,91.64,91.64,91.64,0
1986-12-15,91.96,91.96,91.96,91.96,91.96,0
1986-12-16,92.12,92.12,92.12,92.12,92.12,0
1986-12-17,92.12,92.12,92.12,92.12,92.12,0
1986-12-18,92.08,92.08,92.08,92.08,92.08,0
1986-12-19,92.35,92.35,92.35,92.35,92.35,0
1986-12-22,92.68,92.68,92.68,92.68,92.68,0
1986-12-23,92.48,92.48,92.48,92.48,92.48,0
1986-12-24,92.69,92.69,92.69,92.69,92.69,0
1986-12-26,92.72,92.72,92.72,92.72,92.72,0
1986-12-29,92.13,92.13,92.13,92.13,92.13,0
1986-12-30,92.14,92.14,92.14,92.14,92.14,0
1986-12-31,91.68,91.68,91.68,91.68,91.68,0
1987-01-02,92.93,92.93,92.93,92.93,92.93,0
1987-01-05,93.63,93.63,93.63,93.63,93.63,0
1987-01-06,93.69,93.69,93.69,93.69,93.69,0
1987-01-07,93.82,93.82,93.82,93.82,93.82,0
1987-01-08,93.86,93.86,93.86,93.86,93.86,0
1987-01-09,93.90,93.90,93.90,93.90,93.90,0
1987-01-12,93.94,93.94,93.94,93.94,93.94,0
1987-01-13,93.95,93.95,93.95,93.95,93.95,0
1987-01-14,93.97,93.97,93.97,93.97,93.97,0
1987-01-15,93.98,93.98,93.98,93.98,93.98,0
1987-01-16,93.99,93.99,93.99,93.99,93.99,0
1987-01-19,94.66,94.66,94.66,94.66,94.66,0
1987-01-20,94.41,94.41,94.41,94.41,94.41,0
1987-01-21,94.31,94.31,94.31,94.31,94.31,0
1987-01-22,95.12,95.12,95.12,95.12,95.12,0
1987-01-23,94.24,94.24,94.24,94.24,94.24,0
1987-01-26,94.58,94.58,94.58,94.58,94.58,0
1987-01-27,94.98,94.98,94.98,94.98,94.98,0
1987-01-28,95.19,95.19,95.19,95.19,95.19,0
1987-01-29,95.19,95.19,95.19,95.19,95.19,0
1987-01-30,95.23,95.23,95.23,95.23,95.23,0
1987-02-02,95.64,95.64,95.64,95.64,95.64,0
1987-02-03,95.63,95.63,95.63,95.63,95.63,0
1987-02-04,95.88,95.88,95.88,95.88,95.88,0
1987-02-05,95.95,95.95,95.95,95.95,95.95,0
1987-02-06,96.00,96.00,96.00,96.00,96.00,0
1987-02-09,96.04,96.04,96.04,96.04,96.04,0
1987-02-10,95.93,95.93,95.93,95.93,95.93,0
1987-02-11,96.07,96.07,96.07,96.07,96.07,0
1987-02-12,96.07,96.07,96.07,96.07,96.07,0
1987-02-13,96.22,96.22,96.22,96.22,96.22,0
1987-02-17,96.32,96.32,96.32,96.32,96.32,0
1987-02-18,96.33,96.33,96.33,96.33,96.33,0
1987-02-19,96.34,96.34,96.34,96.34,96.34,0
1987-02-20,96.33,96.33,96.33,96.33,96.33,0
1987-02-23,95.94,95.94,95.94,95.94,95.94,0
1987-02-24,96.06,96.06,96.06,96.06,96.06,0
1987-02-25,96.33,96.33,96.33,96.33,96.33,0
1987-02-26,96.26,96.26,96.26,96.26,96.26,0
1987-02-27,96.36,96.36,96.36,96.36,96.36,0
1987-03-02,96.45,96.45,96.45,96.45,96.45,0
1987-03-03,96.75,96.75,96.75,96.75,96.75,0
1987-03-04,97.50,97.50,97.50,97.50,97.50,0
1987-03-05,97.81,97.81,97.81,97.81,97.81,0
1987-03-06,97.90,97.90,97.90,97.90,97.90,0
1987-03-09,97.83,97.83,97.83,97.83,97.83,0
1987-03-10,98.19,98.19,98.19,98.19,98.19,0
1987-03-11,98.14,98.14,98.14,98.14,98.14,0
1987-03-12,98.33,98.33,98.33,98.33,98.33,0
1987-03-13,98.34,98.34,98.34,98.34,98.34,0
1987-03-16,98.27,98.27,98.27,98.27,98.27,0
1987-03-17,98.63,98.63,98.63,98.63,98.63,0
1987-03-18,98.67,98.67,98.67,98.67,98.67,0
1987-03-19,98.75,98.75,98.75,98.75,98.75,0
1987-03-20,98.69,98.69,98.69,98.69,98.69,0
1987-03-23,99.33,99.33,99.33,99.33,99.33,0
1987-03-24,99.28,99.28,99.28,99.28,99.28,0
1987-03-25,99.28,99.28,99.28,99.28,99.28,0
1987-03-26,99.38,99.38,99.38,99.38,99.38,0
1987-03-27,98.84,98.84,98.84,98.84,98.84,0
1987-03-30,97.69,97.69,97.69,97.69,97.69,0
1987-03-31,98.24,98.24,98.24,98.24,98.24,0
1987-04-01,98.61,98.61,98.61,98.61,98.61,0
1987-04-02,98.80,98.80,98.80,98.80,98.80,0
1987-04-03,99.94,99.94,99.94,99.94,99.94,0
1987-04-06,100.12,100.12,100.12,100.12,100.12,0
1987-04-07,99.54,99.54,99.54,99.54,99.54,0
1987-04-08,99.69,99.69,99.69,99.69,99.69,0
1987-04-09,99.01,99.01,99.01,99.01,99.01,0
1987-04-10,99.11,99.11,99.11,99.11,99.11,0
1987-04-13,97.51,97.51,97.51,97.51,97.51,0
